입국자국가,국가코드,입국연월,입국자 수
중국,112,202201,9489
중국,112,202202,16752
중국,112,202203,14726
중국,112,202204,10230
중국,112,202205,11253
중국,112,202206,12741
중국,112,202207,17907
중국,112,202208,30248
중국,112,202209,29531
중국,112,202210,22940
중국,112,202211,24174
중국,112,202212,27367
중국,112,202301,24946
중국,112,202302,45884
중국,112,202303,73390
중국,112,202304,105967
중국,112,202305,128171
중국,112,202306,168035
중국,112,202307,224805
중국,112,202308,259659
중국,112,202309,263940
중국,112,202310,249483
중국,112,202311,221469
중국,112,202312,253675
